Condition,Metric,Texture,Unnamed: 0,Trial,Rating,Ratio,Mean ratio,Rank,SE
hand,hardness,1.0,460.6666666666667,2.0,7.899122807017544,1.4378631197552787,1.4378631197552787,12.0,0.5492719046994528
hand,hardness,2.0,455.6666666666667,2.0,2.0219298245614037,0.3677061220622406,0.3677061220622406,2.4,0.4207652912120026
hand,hardness,3.0,458.0,2.0,3.530701754385965,0.5854840621066827,0.5854840621066827,4.2,0.26745231883217646
hand,hardness,4.0,453.6666666666667,2.0,1.5219298245614035,0.28538938537603287,0.28538938537603287,1.525,0.36429317084121304
hand,hardness,5.0,460.3333333333333,2.0,7.048245614035087,1.221731408516999,1.221731408516999,10.25,0.384291565595694
hand,hardness,6.0,453.3333333333333,2.0,6.657894736842105,1.1577955168545975,1.1577955168545977,9.25,0.5441040709271543
hand,hardness,7.0,451.0,2.0,4.254385964912281,0.8136669370333992,0.8136669370333992,6.45,0.4810967627889365
hand,hardness,8.0,458.3333333333333,2.0,6.600877192982456,1.219131582787117,1.219131582787117,10.6,0.4645494083019071
hand,hardness,9.0,457.0,2.0,6.241228070175438,1.1187470264951687,1.1187470264951689,9.625,0.5181407019546841
hand,hardness,10.0,454.3333333333333,2.0,7.842105263157895,1.3482728962328423,1.3482728962328423,12.175,0.45120430106098175
hand,hardness,11.0,457.3333333333333,2.0,8.973684210526315,1.6415716870868964,1.6415716870868964,14.775,0.3547829545111675
hand,hardness,12.0,454.0,2.0,8.87719298245614,1.5468245734850101,1.5468245734850101,14.025,0.42936294524748386
hand,hardness,13.0,460.0,2.0,5.232456140350878,1.0141956647452035,1.0141956647452035,9.15,0.44858216580366417
hand,hardness,14.0,463.0,2.0,5.817543859649123,1.0416889442438098,1.0416889442438098,9.45,0.7961368737372758
hand,hardness,15.0,451.3333333333333,2.0,3.8421052631578947,0.6907854821283216,0.6907854821283216,5.875,0.47876971878162805
hand,hardness,16.0,456.0,2.0,2.8464912280701755,0.5091455910904038,0.5091455910904038,4.25,0.29759252125773317
hand,roughness,1.0,408.0,2.0,9.429824561403509,2.21852971069706,2.21852971069706,15.15,0.38720084679281463
hand,roughness,2.0,407.0,2.0,2.1359649122807016,0.5380110149705144,0.5380110149705144,4.1,0.5131757088821366
hand,roughness,3.0,406.6666666666667,2.0,3.973684210526316,0.9239758484670307,0.9239758484670307,8.775,0.4002550712781747
hand,roughness,4.0,409.0,2.0,2.8508771929824563,0.6375627912828516,0.6375627912828516,5.1,0.5174255203431422
hand,roughness,5.0,406.3333333333333,2.0,3.8771929824561404,0.8761045776035035,0.8761045776035035,7.95,0.7981404533668889
hand,roughness,6.0,410.0,2.0,4.43859649122807,1.007967493129548,1.0079674931295477,9.15,0.5135104872797871
hand,roughness,7.0,405.0,2.0,4.614035087719298,1.068635069139982,1.068635069139982,9.825,0.6108265101899093
hand,roughness,8.0,408.3333333333333,2.0,7.31140350877193,1.7406611927185087,1.7406611927185087,14.0,0.8122874253836814
hand,roughness,9.0,409.6666666666667,2.0,7.359649122807017,1.7143441913916446,1.7143441913916446,13.725,0.5766698125406015
hand,roughness,10.0,411.0,2.0,2.039473684210526,0.4711173451171082,0.4711173451171082,3.85,0.7606500015019713
hand,roughness,11.0,408.6666666666667,2.0,5.447368421052632,1.2566718996378579,1.2566718996378579,11.7,0.6062346386180837
hand,roughness,12.0,412.0,2.0,2.6184210526315788,0.633877336034029,0.633877336034029,5.75,0.6031380577907225
hand,roughness,13.0,410.0,2.0,3.1482456140350874,0.7590849176400445,0.7590849176400445,6.875,0.4446545535464957
hand,roughness,14.0,407.6666666666667,2.0,3.3552631578947367,0.7858077236413936,0.7858077236413936,7.35,0.49095185832365723
hand,roughness,15.0,408.0,2.0,2.0,0.4658662824258312,0.4658662824258312,3.975,0.4186592160937649
hand,roughness,16.0,408.6666666666667,2.0,3.8771929824561404,0.9017826061031016,0.9017826061031016,8.725,0.44626360175712704
hand,slipperiness,1.0,500.0,2.0,9.157894736842104,1.9974605919578452,1.9974605919578452,14.85,0.25046166641761847
hand,slipperiness,2.0,501.6666666666667,2.0,3.162280701754386,0.7363371537568302,0.7363371537568302,5.725,0.48320121681615524
hand,slipperiness,3.0,499.3333333333333,2.0,4.223684210526316,0.9543365175724187,0.9543365175724187,8.75,0.727032202263967
hand,slipperiness,4.0,508.6666666666667,2.0,3.0350877192982457,0.7384283939768629,0.7384283939768629,5.35,0.4846067202895624
hand,slipperiness,5.0,499.6666666666667,2.0,3.6228070175438596,0.7959007207011706,0.7959007207011706,6.75,0.32683088210337247
hand,slipperiness,6.0,505.0,2.0,3.4210526315789473,0.7834658515319567,0.7834658515319567,6.675,0.35699799878873734
hand,slipperiness,7.0,508.0,2.0,5.206140350877193,1.1897871345211333,1.1897871345211333,11.275,0.30838902602562285
hand,slipperiness,8.0,503.6666666666667,2.0,8.192982456140351,1.8043695301892833,1.8043695301892833,14.6,0.4288675134594813
hand,slipperiness,9.0,506.6666666666667,2.0,7.017543859649122,1.5633319252143227,1.5633319252143227,13.25,0.3429746648799872
hand,slipperiness,10.0,507.3333333333333,2.0,1.5263157894736843,0.34793751733154576,0.34793751733154576,2.5,0.3730713232187744
hand,slipperiness,11.0,504.0,2.0,4.899122807017544,1.0867241745449883,1.0867241745449883,10.225,0.6372472383267155
hand,slipperiness,12.0,509.0,2.0,2.8552631578947367,0.6277022470068162,0.6277022470068162,5.1,0.46184274414886145
hand,slipperiness,13.0,503.3333333333333,2.0,3.057017543859649,0.7038446287393829,0.7038446287393829,6.2,0.31202104052681207
hand,slipperiness,14.0,500.3333333333333,2.0,3.8859649122807016,0.9017067399459857,0.9017067399459857,8.6,0.6190058982842539
hand,slipperiness,15.0,508.3333333333333,2.0,4.021929824561403,0.8347571862551515,0.8347571862551515,7.7,0.28630711551660476
hand,slipperiness,16.0,507.0,2.0,4.12280701754386,0.9339096867543133,0.9339096867543133,8.45,0.5202075748169132
hand,stability,1.0,552.0,2.0,,,,1.0,0.0
hand,stability,2.0,550.3333333333334,2.0,,,,2.0,0.0
hand,stability,3.0,552.6666666666666,2.0,,,,3.0,0.0
hand,stability,4.0,551.0,2.0,,,,4.0,0.0
hand,stability,5.0,552.3333333333334,2.0,,,,5.0,0.0
hand,stability,6.0,558.0,2.0,,,,6.0,0.0
hand,stability,7.0,556.3333333333334,2.0,,,,7.0,0.0
hand,stability,8.0,551.0,2.0,,,,8.0,0.0
hand,stability,9.0,551.3333333333334,2.0,,,,9.0,0.0
hand,stability,10.0,557.0,2.0,,,,10.0,0.0
hand,stability,11.0,550.6666666666666,2.0,,,,11.0,0.0
hand,stability,12.0,551.3333333333334,2.0,,,,12.0,0.0
hand,stability,13.0,549.3333333333334,2.0,,,,13.0,0.0
hand,stability,14.0,551.6666666666666,2.0,,,,14.0,0.0
hand,stability,15.0,550.6666666666666,2.0,,,,15.0,0.0
hand,stability,16.0,554.3333333333334,2.0,,,,16.0,0.0
sitting,hardness,1.0,268.6666666666667,2.0,7.216666666666667,1.4450255643005332,1.4450255643005334,12.45,0.4495979721664464
sitting,hardness,2.0,263.6666666666667,2.0,1.5291666666666666,0.32587266024749,0.32587266024749,2.075,0.3741242501539202
sitting,hardness,3.0,266.0,2.0,2.816666666666667,0.5847625802299655,0.5847625802299655,4.45,0.42445925045059185
sitting,hardness,4.0,261.6666666666667,2.0,1.5291666666666666,0.33362271804648985,0.3336227180464898,2.1,0.2896140338238747
sitting,hardness,5.0,268.3333333333333,2.0,6.4625,1.3158295020044755,1.3158295020044755,11.0,0.6659088590856609
sitting,hardness,6.0,261.3333333333333,2.0,6.1375,1.2048458312177317,1.2048458312177317,10.425,0.5076134537755306
sitting,hardness,7.0,259.0,2.0,3.775,0.7638043288707419,0.7638043288707419,5.875,0.5030671861377204
sitting,hardness,8.0,266.3333333333333,2.0,6.3875,1.2841254637326747,1.2841254637326747,10.85,0.47783572636882093
sitting,hardness,9.0,265.0,2.0,5.3875,1.0703190926170698,1.0703190926170698,9.525,0.5477417196801269
sitting,hardness,10.0,262.3333333333333,2.0,6.65,1.317184444300112,1.317184444300112,11.375,0.6227383307016849
sitting,hardness,11.0,265.3333333333333,2.0,8.4625,1.6999829173056447,1.6999829173056449,15.35,0.3045819405943907
sitting,hardness,12.0,262.0,2.0,7.654166666666667,1.5258862245965674,1.5258862245965674,13.75,0.3617898861295829
sitting,hardness,13.0,268.0,2.0,4.4375,0.8741133361940524,0.8741133361940526,7.475,0.3753907673728738
sitting,hardness,14.0,271.0,2.0,5.3375,1.056157693509709,1.056157693509709,9.875,0.54834087009292
sitting,hardness,15.0,259.3333333333333,2.0,3.5125,0.7127751233914703,0.7127751233914703,5.8,0.5287409700741547
sitting,hardness,16.0,264.0,2.0,2.35,0.4856925194352783,0.4856925194352783,3.625,0.44849446827668743
sitting,roughness,1.0,216.0,2.0,8.316666666666666,2.119894055290768,2.119894055290768,15.575,0.47379394256507035
sitting,roughness,2.0,215.0,2.0,1.8333333333333333,0.4762100170247866,0.47621001702478666,3.8,0.5375775042434211
sitting,roughness,3.0,214.66666666666666,2.0,3.158333333333333,0.7982407105645689,0.7982407105645689,7.35,0.5177963677293002
sitting,roughness,4.0,217.0,2.0,2.629166666666667,0.6520100871435867,0.6520100871435867,5.475,0.6011062095518152
sitting,roughness,5.0,214.33333333333334,2.0,3.15,0.764526493402505,0.764526493402505,7.35,0.503586341682426
sitting,roughness,6.0,218.0,2.0,3.8833333333333333,1.0226634574058633,1.0226634574058633,9.725,0.686869690612263
sitting,roughness,7.0,213.0,2.0,4.745833333333334,1.2296857101622758,1.2296857101622758,11.275,0.676135511127082
sitting,roughness,8.0,216.33333333333334,2.0,7.425,1.9078947470836125,1.9078947470836125,14.6,0.6816772442922339
sitting,roughness,9.0,217.66666666666666,2.0,6.4375,1.6741655819371353,1.6741655819371353,13.375,0.5208577407174473
sitting,roughness,10.0,219.0,2.0,1.7083333333333333,0.39439166778922974,0.3943916677892298,3.0,0.64957710066859
sitting,roughness,11.0,216.66666666666666,2.0,5.095833333333333,1.2606215727170114,1.2606215727170114,11.175,0.6277994436773834
sitting,roughness,12.0,220.0,2.0,3.525,0.8445113884565639,0.8445113884565639,8.1,0.5773082304990134
sitting,roughness,13.0,218.0,2.0,2.8,0.7486883598009012,0.7486883598009012,6.75,0.46598820239201744
sitting,roughness,14.0,215.66666666666666,2.0,2.908333333333333,0.7686759735594472,0.7686759735594472,7.025,0.5963420305846897
sitting,roughness,15.0,216.0,2.0,1.5125,0.385934282840134,0.385934282840134,3.375,0.48159585518440984
sitting,roughness,16.0,216.66666666666666,2.0,3.7125,0.9518858948216202,0.9518858948216202,8.05,0.7325095357322947
sitting,slipperiness,1.0,308.0,2.0,8.075,1.9022894338073824,1.9022894338073824,15.275,0.6076678201373881
sitting,slipperiness,2.0,309.6666666666667,2.0,2.4166666666666665,0.6324188504659581,0.6324188504659581,4.8,0.4320063937761743
sitting,slipperiness,3.0,307.3333333333333,2.0,3.3875,0.8417632030858453,0.8417632030858454,7.475,0.5891309429150844
sitting,slipperiness,4.0,316.6666666666667,2.0,2.325,0.609798554016061,0.609798554016061,4.375,0.4910900700277722
sitting,slipperiness,5.0,307.6666666666667,2.0,3.75,0.8784534322495738,0.8784534322495738,7.725,0.557950813432788
sitting,slipperiness,6.0,313.0,2.0,3.4458333333333333,0.8431482896302549,0.8431482896302549,7.625,0.6767890776534592
sitting,slipperiness,7.0,316.0,2.0,4.9625,1.1873860785804304,1.1873860785804304,11.2,0.4456324351873304
sitting,slipperiness,8.0,311.6666666666667,2.0,8.283333333333333,1.9523618623984438,1.9523618623984438,15.4,0.29357297129435794
sitting,slipperiness,9.0,314.6666666666667,2.0,6.125,1.4539992823586987,1.4539992823586987,12.4,0.5542243393024031
sitting,slipperiness,10.0,315.3333333333333,2.0,1.7083333333333333,0.41805918916862655,0.41805918916862655,2.95,0.4900225924721921
sitting,slipperiness,11.0,312.0,2.0,4.905,1.1043251791005937,1.1043251791005937,10.375,0.6699536638819908
sitting,slipperiness,12.0,317.0,2.0,4.275,0.9535825278223589,0.9535825278223589,8.7,0.6479621797012101
sitting,slipperiness,13.0,311.3333333333333,2.0,3.025,0.7173960388259454,0.7173960388259454,6.0,0.65017090819787
sitting,slipperiness,14.0,308.3333333333333,2.0,4.0375,0.9291716115838871,0.9291716115838871,8.75,0.729289502666612
sitting,slipperiness,15.0,316.3333333333333,2.0,3.1166666666666667,0.7188265847912028,0.7188265847912028,5.875,0.5782409324170906
sitting,slipperiness,16.0,315.0,2.0,3.5416666666666665,0.8570198821147472,0.8570198821147472,7.075,0.5754097160657938
sitting,stability,1.0,360.0,2.0,,,,1.0,0.0
sitting,stability,2.0,358.3333333333333,2.0,,,,2.0,0.0
sitting,stability,3.0,360.6666666666667,2.0,,,,3.0,0.0
sitting,stability,4.0,359.0,2.0,,,,4.0,0.0
sitting,stability,5.0,360.3333333333333,2.0,,,,5.0,0.0
sitting,stability,6.0,366.0,2.0,,,,6.0,0.0
sitting,stability,7.0,364.3333333333333,2.0,,,,7.0,0.0
sitting,stability,8.0,359.0,2.0,,,,8.0,0.0
sitting,stability,9.0,359.3333333333333,2.0,,,,9.0,0.0
sitting,stability,10.0,365.0,2.0,,,,10.0,0.0
sitting,stability,11.0,358.6666666666667,2.0,,,,11.0,0.0
sitting,stability,12.0,359.3333333333333,2.0,,,,12.0,0.0
sitting,stability,13.0,357.3333333333333,2.0,,,,13.0,0.0
sitting,stability,14.0,359.6666666666667,2.0,,,,14.0,0.0
sitting,stability,15.0,358.6666666666667,2.0,,,,15.0,0.0
sitting,stability,16.0,362.3333333333333,2.0,,,,16.0,0.0
walking,hardness,1.0,75.66666666666667,2.0,7.041666666666667,1.6655286936482767,1.665528693648277,13.55,0.48267784296165156
walking,hardness,2.0,70.66666666666667,2.0,1.3,0.32516582682888723,0.32516582682888723,2.825,0.392474497756025
walking,hardness,3.0,73.0,2.0,2.5125,0.5961242780653815,0.5961242780653815,5.6,0.4705341801261479
walking,hardness,4.0,68.66666666666667,2.0,1.1458333333333333,0.27492078281420684,0.2749207828142068,2.2,0.33121654411694595
walking,hardness,5.0,75.33333333333333,2.0,5.864166666666667,1.3284793006345468,1.3284793006345468,11.5,0.7971993295302976
walking,hardness,6.0,68.33333333333333,2.0,5.1258333333333335,1.1526442164208324,1.1526442164208324,9.9,0.6898662750186345
walking,hardness,7.0,66.0,2.0,2.3433333333333333,0.5729300176352444,0.5729300176352444,5.575,0.49489909401775795
walking,hardness,8.0,73.33333333333333,2.0,5.2675,1.2123552704483511,1.2123552704483511,10.375,0.5972729837374099
walking,hardness,9.0,72.0,2.0,4.403333333333333,0.9913991950857306,0.9913991950857306,9.175,0.5501084536590526
walking,hardness,10.0,69.33333333333333,2.0,6.595,1.4778596655031395,1.4778596655031395,12.55,0.5218293913039115
walking,hardness,11.0,72.33333333333333,2.0,8.441666666666666,2.117087359700479,2.117087359700479,15.525,0.3324974782441704
walking,hardness,12.0,69.0,2.0,7.5125,1.796466163613792,1.796466163613792,14.35,0.5837794426627596
walking,hardness,13.0,75.0,2.0,2.3225,0.540191802800112,0.540191802800112,4.85,0.30732874559808615
walking,hardness,14.0,78.0,2.0,4.133333333333334,0.94681762789629,0.9468176278962901,8.775,0.6703069289132024
walking,hardness,15.0,66.33333333333333,2.0,2.5641666666666665,0.5896310923955231,0.5896310923955231,5.5,0.49806838516010676
walking,hardness,16.0,71.0,2.0,1.7658333333333334,0.41239870650921284,0.41239870650921284,3.75,0.2523971253736318
walking,roughness,1.0,23.0,2.0,7.725,3.0502159436142704,3.0502159436142704,15.725,0.5573225730178117
walking,roughness,2.0,22.0,2.0,0.7116666666666667,0.28517401107687734,0.2851740110768774,3.575,0.1974291885177432
walking,roughness,3.0,21.666666666666668,2.0,1.3299999999999998,0.5375798198536469,0.5375798198536469,6.675,0.2546206420764838
walking,roughness,4.0,24.0,2.0,1.1641666666666666,0.44818928457551993,0.44818928457551993,5.325,0.2657348571130545
walking,roughness,5.0,21.333333333333332,2.0,1.1668333333333334,0.4252894476198718,0.4252894476198718,5.025,0.45152760198877945
walking,roughness,6.0,25.0,2.0,2.2158333333333333,0.8156056126111156,0.8156056126111156,8.475,0.4279586333079315
walking,roughness,7.0,20.0,2.0,2.6875,1.0498691716797206,1.0498691716797206,10.625,0.5790525315796187
walking,roughness,8.0,23.333333333333332,2.0,5.933333333333334,2.357773520824344,2.357773520824344,14.525,0.5066892591388588
walking,roughness,9.0,24.666666666666668,2.0,5.3875,2.035650991016174,2.035650991016174,13.825,0.6305728041703957
walking,roughness,10.0,26.0,2.0,0.7783333333333334,0.28758929360037927,0.28758929360037927,3.55,0.256982606530358
walking,roughness,11.0,23.666666666666668,2.0,4.008333333333334,1.4352487755072754,1.4352487755072754,11.925,0.49543073349620337
walking,roughness,12.0,27.0,2.0,1.0658333333333334,0.4168304460797903,0.41683044607979025,5.2,0.28323673377260966
walking,roughness,13.0,25.0,2.0,2.0825,0.8646424020900786,0.8646424020900786,8.5,0.3436608815100291
walking,roughness,14.0,22.666666666666668,2.0,2.1216666666666666,0.7999235084228403,0.7999235084228403,9.0,0.5157555975415538
walking,roughness,15.0,23.0,2.0,1.4275,0.47089159507619377,0.47089159507619377,5.525,0.3350471134310045
walking,roughness,16.0,23.666666666666668,2.0,1.8841666666666665,0.7195261763519093,0.7195261763519093,8.525,0.5084782533307214
walking,slipperiness,1.0,115.0,2.0,8.05,1.859827261374679,1.859827261374679,14.9,0.5830558899016243
walking,slipperiness,2.0,116.66666666666667,2.0,2.6041666666666665,0.6193509626128328,0.6193509626128328,4.75,0.43776528606114606
walking,slipperiness,3.0,114.33333333333333,2.0,3.279166666666667,0.7678909705836244,0.7678909705836244,6.475,0.698504469083882
walking,slipperiness,4.0,123.91525423728814,2.016949152542373,2.669491525423729,0.6222956756649314,0.6222956756649314,5.228813559322034,0.46950513012393047
walking,slipperiness,5.0,114.66666666666667,2.0,3.15,0.7257621613945043,0.7257621613945043,6.5,0.6134467816469944
walking,slipperiness,6.0,120.0,2.0,3.425,0.8248496819807147,0.8248496819807147,7.6,0.7009551322572926
walking,slipperiness,7.0,123.0,2.0,4.266666666666667,0.9933550739983475,0.9933550739983475,9.575,0.6626284285179647
walking,slipperiness,8.0,118.66666666666667,2.0,8.1,1.9236626136702821,1.9236626136702821,15.15,0.439031728896187
walking,slipperiness,9.0,121.66666666666667,2.0,6.058333333333334,1.4379062697640466,1.4379062697640466,12.05,0.5555637828905343
walking,slipperiness,10.0,122.33333333333333,2.0,1.7583333333333333,0.4138911514528144,0.41389115145281447,3.05,0.6119353474491962
walking,slipperiness,11.0,119.0,2.0,4.816666666666666,1.0976243307328817,1.097624330732882,9.475,1.0985475186474718
walking,slipperiness,12.0,124.0,2.0,2.933333333333333,0.6757745447267917,0.6757745447267917,5.6,0.6547194760749393
walking,slipperiness,13.0,118.33333333333333,2.0,3.566666666666667,0.8518717576924772,0.8518717576924772,7.45,0.49086261099955947
walking,slipperiness,14.0,115.22950819672131,1.9836065573770492,4.737704918032787,1.12458098222417,1.1245809822241697,10.450819672131148,0.5600035886945153
walking,slipperiness,15.0,123.33333333333333,2.0,4.883333333333334,1.1586392433504213,1.1586392433504213,9.775,0.509565909022335
walking,slipperiness,16.0,122.0,2.0,3.7291666666666665,0.8943458970005035,0.8943458970005035,8.0,0.7448350299685119
walking,stability,1.0,166.93333333333334,2.0,7.575,1.3270899005329821,1.3270899005329821,11.5,0.45773502691896256
walking,stability,2.0,165.3,2.0,5.866666666666666,0.9686668037386973,0.9686668037386973,8.05,0.6485560728090807
walking,stability,3.0,167.53333333333333,2.0,5.6625,0.9808969872455104,0.9808969872455104,8.35,0.5701674663662141
walking,stability,4.0,166.2,2.0,5.3375,0.8755572909459096,0.8755572909459095,6.9,0.5999789944764806
walking,stability,5.0,167.23333333333332,2.0,7.9375,1.3953853898553255,1.3953853898553255,13.325,0.6090707343712102
walking,stability,6.0,172.9,2.0,7.5,1.3136581356757737,1.3136581356757737,12.4,0.5342290445529903
walking,stability,7.0,171.33333333333334,2.0,4.383333333333334,0.791487459064576,0.791487459064576,5.525,0.5104947092391993
walking,stability,8.0,165.9,2.0,6.291666666666667,1.0866597756045657,1.086659775604566,8.525,0.8567146993875896
walking,stability,9.0,166.46666666666667,2.0,6.683333333333334,1.1674479742604793,1.1674479742604793,10.4,0.5606992183069488
walking,stability,10.0,171.93333333333334,2.0,7.395833333333333,1.3145994901300138,1.3145994901300138,12.775,0.4895023281434836
walking,stability,11.0,165.6,2.0,5.575,1.0523842593487271,1.0523842593487271,8.65,0.7041844913573865
walking,stability,12.0,166.5,2.0,7.216666666666667,1.2780222634787683,1.2780222634787683,11.9,0.42662513285063597
walking,stability,13.0,164.33333333333334,2.0,2.1666666666666665,0.3860026463060288,0.3860026463060288,2.5,0.40945938102251683
walking,stability,14.0,166.63333333333333,2.0,2.475,0.45424397600233046,0.45424397600233046,2.925,0.7111565055877759
walking,stability,15.0,165.9,2.0,4.4875,0.7733898331345036,0.7733898331345036,6.15,0.7060750530134602
walking,stability,16.0,169.3,2.0,4.929166666666666,0.8345078146758099,0.8345078146758099,6.125,0.7280750779212711
