,Condition,Metric,Texture,F,p
0,walking,roughness,1.0,0.6205416843555913,0.541245386307126
0,walking,roughness,2.0,0.006834343150894351,0.9931897715915747
0,walking,roughness,3.0,2.1282996442162316,0.12840331128650592
0,walking,roughness,4.0,0.3395353266086919,0.7135314835151874
0,walking,roughness,5.0,0.013836070210451365,0.9862625196020888
0,walking,roughness,6.0,0.6626648267639713,0.5194014131973772
0,walking,roughness,7.0,0.24889499842585738,0.7805047406411392
0,walking,roughness,8.0,0.11413816633135447,0.8923380648652453
0,walking,roughness,9.0,0.360215173831407,0.6991025960980344
0,walking,roughness,10.0,0.024237167742991894,0.9760642472725196
0,walking,roughness,11.0,1.2663680222367182,0.2896622318150278
0,walking,roughness,12.0,0.14167036755111745,0.8682119464550953
0,walking,roughness,13.0,0.11217948693702783,0.8940806561474649
0,walking,roughness,14.0,1.961308888569226,0.15005294881065237
0,walking,roughness,15.0,0.43020058976300024,0.6524726793092518
0,walking,roughness,16.0,2.390740529262372,0.10068653667736034
0,walking,hardness,1.0,0.006527746181256009,0.9934942558624161
0,walking,hardness,2.0,0.7528035640002212,0.47566906443308
0,walking,hardness,3.0,1.2923483401307465,0.28254882104549095
0,walking,hardness,4.0,1.7602929332847739,0.18121509282055423
0,walking,hardness,5.0,3.9704392311604195,0.024303333860294964
0,walking,hardness,6.0,0.41523794181388546,0.6621639802763385
0,walking,hardness,7.0,0.43845879230533497,0.6471868374179734
0,walking,hardness,8.0,2.0573699079701306,0.13717447986221498
0,walking,hardness,9.0,1.2148109934420592,0.3043328287496512
0,walking,hardness,10.0,0.6256603516053245,0.5385409853514942
0,walking,hardness,11.0,0.4647541032621339,0.6306492768428713
0,walking,hardness,12.0,1.233169696608975,0.29902261760196125
0,walking,hardness,13.0,0.8110187262388426,0.4494666694185748
0,walking,hardness,14.0,0.2693204505974251,0.7648650290789576
0,walking,hardness,15.0,1.0421176712504576,0.3593289724319927
0,walking,hardness,16.0,0.503889246682667,0.6068421314603143
0,walking,slipperiness,1.0,0.6851347996677888,0.5081242931128809
0,walking,slipperiness,2.0,0.9251901960091556,0.4023268971653048
0,walking,slipperiness,3.0,6.0804516996510545,0.004040216588439802
0,walking,slipperiness,4.0,0.005816853879002015,0.9942006318833133
0,walking,slipperiness,5.0,0.1949038489622091,0.8234599006556209
0,walking,slipperiness,6.0,1.0766417668014807,0.34756494431535206
0,walking,slipperiness,7.0,0.2720322011673734,0.7628131764960195
0,walking,slipperiness,8.0,1.3449949564366088,0.26868318011312875
0,walking,slipperiness,9.0,0.05280528215627896,0.9486110439506982
0,walking,slipperiness,10.0,0.8414179367067826,0.43638240552522134
0,walking,slipperiness,11.0,0.9816691509427594,0.3809294661498903
0,walking,slipperiness,12.0,0.3686618290217531,0.6932963200608131
0,walking,slipperiness,13.0,0.035621175311465116,0.9650272564670954
0,walking,slipperiness,14.0,0.1229784978784769,0.8845126363251509
0,walking,slipperiness,15.0,0.15087144549813677,0.8603005168917756
0,walking,slipperiness,16.0,0.4051094545503796,0.6688086634061527
0,walking,stability,1.0,0.9978535053740053,0.3750176413630768
0,walking,stability,2.0,0.7589382643796516,0.4728348479113692
0,walking,stability,3.0,0.031713647472245664,0.968801037609088
0,walking,stability,4.0,0.4580695915914054,0.6348113710014187
0,walking,stability,5.0,0.20956548727682092,0.8115585390935434
0,walking,stability,6.0,0.3545370879489809,0.7030340136605531
0,walking,stability,7.0,0.9428298629937476,0.39551353756941077
0,walking,stability,8.0,0.0008190038660951306,0.9991813431840197
0,walking,stability,9.0,1.1215739723350762,0.3328486219140148
0,walking,stability,10.0,1.352060775997592,0.26687658518011076
0,walking,stability,11.0,0.5719177252944254,0.5676473369359849
0,walking,stability,12.0,0.6788875358999013,0.511233968019777
0,walking,stability,13.0,0.23760973377344133,0.789287446578523
0,walking,stability,14.0,0.5313274108212257,0.5907068943555789
0,walking,stability,15.0,0.05746465634550865,0.9442098857017807
0,walking,stability,16.0,0.4500322670142841,0.6398534631631863
0,sitting,roughness,1.0,0.45320313385104577,0.6378593356489954
0,sitting,roughness,2.0,1.3025378349329801,0.27980852516972154
0,sitting,roughness,3.0,5.134231356894137,0.008908519911658287
0,sitting,roughness,4.0,0.13018269768973806,0.8781952981381176
0,sitting,roughness,5.0,1.5324248814382893,0.22477713187797732
0,sitting,roughness,6.0,4.343855408601429,0.017544288554704482
0,sitting,roughness,7.0,1.8513056234570455,0.16635016681684742
0,sitting,roughness,8.0,1.7346422637227163,0.1856481944721975
0,sitting,roughness,9.0,0.3431795649283258,0.7109666018154872
0,sitting,roughness,10.0,1.7987255532833053,0.17477697312390095
0,sitting,roughness,11.0,1.5246965740551868,0.2264319131111421
0,sitting,roughness,12.0,0.5693778268617975,0.5690625633432573
0,sitting,roughness,13.0,0.016591143695224676,0.9835504792493266
0,sitting,roughness,14.0,0.9321561221398353,0.39962189237464363
0,sitting,roughness,15.0,2.5176743857986974,0.08958089185942537
0,sitting,roughness,16.0,0.7613590294970053,0.471721275261907
0,sitting,hardness,1.0,0.09110338877464552,0.913055978708939
0,sitting,hardness,2.0,0.5483908028117063,0.5808971777082906
0,sitting,hardness,3.0,0.3598092778987969,0.6993828753863913
0,sitting,hardness,4.0,1.787940158607567,0.17655944752090974
0,sitting,hardness,5.0,0.5618128044003765,0.5732994576556922
0,sitting,hardness,6.0,0.19469586834660987,0.8236300192679641
0,sitting,hardness,7.0,0.26219154720624865,0.7702864262747537
0,sitting,hardness,8.0,0.05789751838227048,0.9438020866977351
0,sitting,hardness,9.0,0.8374143974853061,0.43808279916219806
0,sitting,hardness,10.0,2.5623321220574278,0.08598205706112028
0,sitting,hardness,11.0,0.762230578288912,0.4713210202725292
0,sitting,hardness,12.0,0.03326968501437505,0.9672964330742891
0,sitting,hardness,13.0,0.6920222062835513,0.5047186579765711
0,sitting,hardness,14.0,0.6770628753852598,0.5121459338288992
0,sitting,hardness,15.0,0.28940835953815497,0.7497999753615443
0,sitting,hardness,16.0,0.22149689458452923,0.802004860053307
0,sitting,slipperiness,1.0,0.052179207113627626,0.9492040390628548
0,sitting,slipperiness,2.0,0.6767808242604966,0.5122870532479296
0,sitting,slipperiness,3.0,1.0884575524359532,0.34363090853801503
0,sitting,slipperiness,4.0,0.3261296517280961,0.7230493577392734
0,sitting,slipperiness,5.0,1.0874310428203409,0.3439708467886602
0,sitting,slipperiness,6.0,0.915831037185917,0.40599111056490433
0,sitting,slipperiness,7.0,1.2980414019101656,0.28101435928457497
0,sitting,slipperiness,8.0,0.25217066725693565,0.7779744548145884
0,sitting,slipperiness,9.0,0.06033669609551331,0.9415075447465456
0,sitting,slipperiness,10.0,0.5246669128387434,0.5945823904725338
0,sitting,slipperiness,11.0,1.5875626804646765,0.21332845164055503
0,sitting,slipperiness,12.0,0.47707070635256843,0.6230541828055898
0,sitting,slipperiness,13.0,0.017911015828543635,0.9822539589734935
0,sitting,slipperiness,14.0,0.9766328140094171,0.3827887554305138
0,sitting,slipperiness,15.0,0.4149175723543995,0.6623731051671627
0,sitting,slipperiness,16.0,0.2094511401988558,0.8116506664643701
0,hand,roughness,1.0,1.8633055977717339,0.16499766838029653
0,hand,roughness,2.0,1.601356557258908,0.21104864337524787
0,hand,roughness,3.0,0.1846724470875233,0.831899400589609
0,hand,roughness,4.0,0.10067132871204731,0.9043994795926003
0,hand,roughness,5.0,0.9007022038709117,0.4122997029243233
0,hand,roughness,6.0,1.0049586422715429,0.37280211713534706
0,hand,roughness,7.0,1.1665885955718376,0.3191514850454315
0,hand,roughness,8.0,1.1176281104197119,0.33450083257487495
0,hand,roughness,9.0,0.18032076141426112,0.8355030431106949
0,hand,roughness,10.0,0.9696492015101331,0.3857199551018824
0,hand,roughness,11.0,0.7431345618500494,0.48042142531541954
0,hand,roughness,12.0,0.33761960694155363,0.7149617959057986
0,hand,roughness,13.0,0.9012795900822181,0.4120693985200288
0,hand,roughness,14.0,0.32182898482061967,0.7262027332666657
0,hand,roughness,15.0,0.34505290349340995,0.7097328357538025
0,hand,roughness,16.0,0.02803937158334177,0.972364230206075
0,hand,hardness,1.0,1.1561150522133277,0.3223724285750369
0,hand,hardness,2.0,2.0637966813437654,0.13687000117268236
0,hand,hardness,3.0,0.043909951163302416,0.9570742689118321
0,hand,hardness,4.0,0.5682227340441142,0.5698819093858045
0,hand,hardness,5.0,7.057513637944092e-05,0.9999294274462187
0,hand,hardness,6.0,0.2154731637382404,0.8068496620487889
0,hand,hardness,7.0,1.5099758381623551,0.23009474624118578
0,hand,hardness,8.0,1.1775330904875196,0.31582134848422533
0,hand,hardness,9.0,0.020284302972428177,0.9799275023111776
0,hand,hardness,10.0,1.929533891397992,0.15509680419073102
0,hand,hardness,11.0,1.0568906672978067,0.35461251440122177
0,hand,hardness,12.0,0.3063090220831657,0.7374296771559026
0,hand,hardness,13.0,0.675225535939787,0.5132867751545894
0,hand,hardness,14.0,1.0307205927424916,0.363660847861423
0,hand,hardness,15.0,0.1789241984117783,0.8366629688966318
0,hand,hardness,16.0,1.7245508166862311,0.18792475294557834
0,hand,slipperiness,1.0,0.2794885707710756,0.757257501022288
0,hand,slipperiness,2.0,0.12754237996516968,0.8805204873490977
0,hand,slipperiness,3.0,0.684916178984836,0.5084577633913605
0,hand,slipperiness,4.0,0.01770012009546768,0.9824613043651302
0,hand,slipperiness,5.0,1.0483568156069847,0.3575371665436756
0,hand,slipperiness,6.0,1.0294118476904746,0.36411958617710505
0,hand,slipperiness,7.0,0.17601877568875046,0.8390814434785653
0,hand,slipperiness,8.0,1.2624105342537826,0.29118782776477187
0,hand,slipperiness,9.0,0.15742463293990977,0.8547318597105295
0,hand,slipperiness,10.0,0.9036078051291964,0.41114208656849316
0,hand,slipperiness,11.0,0.5810417206495756,0.5627735421078749
0,hand,slipperiness,12.0,2.001135844621607,0.1450829665172125
0,hand,slipperiness,13.0,0.8233090440134772,0.44441077667714735
0,hand,slipperiness,14.0,1.0178980945163925,0.36818131596416825
0,hand,slipperiness,15.0,0.10346196436928291,0.9018886268565889
0,hand,slipperiness,16.0,0.8630924638955186,0.42759251663773934
