,Metric,texture,covariate1,covariate2,r,p
0,roughness,1.0,walking,walking,1.0,0.0
0,roughness,2.0,walking,walking,1.0,0.0
0,roughness,3.0,walking,walking,0.9999999999999999,2.4335320021951557e-142
0,roughness,4.0,walking,walking,1.0,0.0
0,roughness,5.0,walking,walking,1.0,0.0
0,roughness,6.0,walking,walking,1.0,0.0
0,roughness,7.0,walking,walking,1.0,0.0
0,roughness,8.0,walking,walking,1.0,0.0
0,roughness,9.0,walking,walking,1.0,0.0
0,roughness,10.0,walking,walking,1.0,0.0
0,roughness,11.0,walking,walking,0.9999999999999999,2.4335320021951557e-142
0,roughness,12.0,walking,walking,1.0,0.0
0,roughness,13.0,walking,walking,1.0,0.0
0,roughness,14.0,walking,walking,1.0,0.0
0,roughness,15.0,walking,walking,1.0,0.0
0,roughness,16.0,walking,walking,1.0,0.0
0,roughness,1.0,walking,sitting,0.33082706766917286,0.15423604448098624
0,roughness,2.0,walking,sitting,0.12781954887218044,0.5912462398946646
0,roughness,3.0,walking,sitting,0.266265532180796,0.2564852052837069
0,roughness,4.0,walking,sitting,0.5082706766917292,0.022124780463792442
0,roughness,5.0,walking,sitting,0.4857142857142857,0.029920782525592476
0,roughness,6.0,walking,sitting,-0.09774436090225563,0.681832438507082
0,roughness,7.0,walking,sitting,-0.17142857142857143,0.4698861728108753
0,roughness,8.0,walking,sitting,0.45112781954887216,0.04588325880000641
0,roughness,9.0,walking,sitting,0.27368421052631575,0.24296636906130623
0,roughness,10.0,walking,sitting,0.10676691729323308,0.6541415450094847
0,roughness,11.0,walking,sitting,0.5671305402946898,0.00911429972918934
0,roughness,12.0,walking,sitting,0.16842105263157892,0.4778286757964305
0,roughness,13.0,walking,sitting,0.4977443609022556,0.025532566963083796
0,roughness,14.0,walking,sitting,0.2120300751879699,0.36948599387790193
0,roughness,15.0,walking,sitting,0.37293233082706767,0.1053477229621267
0,roughness,16.0,walking,sitting,0.24060150375939846,0.3068610916782761
0,roughness,1.0,walking,hand,0.31578947368421056,0.18782145580900952
0,roughness,2.0,walking,hand,0.37894736842105264,0.10959964442893559
0,roughness,3.0,walking,hand,0.15533130060501543,0.5254413553637161
0,roughness,4.0,walking,hand,0.17719298245614035,0.46801996198974094
0,roughness,5.0,walking,hand,0.1649122807017544,0.49988058994796014
0,roughness,6.0,walking,hand,0.4456140350877193,0.05586260497614902
0,roughness,7.0,walking,hand,-0.10350877192982455,0.6732515278554065
0,roughness,8.0,walking,hand,0.1105263157894737,0.6523856873272676
0,roughness,9.0,walking,hand,-0.20877192982456141,0.391033007093879
0,roughness,10.0,walking,hand,-0.36315789473684207,0.12645534372597733
0,roughness,11.0,walking,hand,0.2597630789778789,0.2828296184752782
0,roughness,12.0,walking,hand,-0.2771929824561403,0.25058889481209123
0,roughness,13.0,walking,hand,0.2368421052631579,0.32893104152682706
0,roughness,14.0,walking,hand,0.1456140350877193,0.5519696732095334
0,roughness,15.0,walking,hand,0.5385964912280702,0.01735062387146656
0,roughness,16.0,walking,hand,-0.017551559390397226,0.943145765313205
0,roughness,1.0,sitting,walking,0.33082706766917286,0.15423604448098624
0,roughness,2.0,sitting,walking,0.12781954887218044,0.5912462398946646
0,roughness,3.0,sitting,walking,0.266265532180796,0.2564852052837069
0,roughness,4.0,sitting,walking,0.5082706766917292,0.022124780463792442
0,roughness,5.0,sitting,walking,0.4857142857142857,0.029920782525592476
0,roughness,6.0,sitting,walking,-0.09774436090225563,0.681832438507082
0,roughness,7.0,sitting,walking,-0.17142857142857143,0.4698861728108753
0,roughness,8.0,sitting,walking,0.45112781954887216,0.04588325880000641
0,roughness,9.0,sitting,walking,0.27368421052631575,0.24296636906130623
0,roughness,10.0,sitting,walking,0.10676691729323308,0.6541415450094847
0,roughness,11.0,sitting,walking,0.5671305402946898,0.00911429972918934
0,roughness,12.0,sitting,walking,0.16842105263157892,0.4778286757964305
0,roughness,13.0,sitting,walking,0.4977443609022556,0.025532566963083796
0,roughness,14.0,sitting,walking,0.2120300751879699,0.36948599387790193
0,roughness,15.0,sitting,walking,0.37293233082706767,0.1053477229621267
0,roughness,16.0,sitting,walking,0.24060150375939846,0.3068610916782761
0,roughness,1.0,sitting,sitting,1.0,0.0
0,roughness,2.0,sitting,sitting,1.0,0.0
0,roughness,3.0,sitting,sitting,1.0,0.0
0,roughness,4.0,sitting,sitting,1.0,0.0
0,roughness,5.0,sitting,sitting,1.0,0.0
0,roughness,6.0,sitting,sitting,1.0,0.0
0,roughness,7.0,sitting,sitting,1.0,0.0
0,roughness,8.0,sitting,sitting,1.0,0.0
0,roughness,9.0,sitting,sitting,1.0,0.0
0,roughness,10.0,sitting,sitting,1.0,0.0
0,roughness,11.0,sitting,sitting,1.0,0.0
0,roughness,12.0,sitting,sitting,1.0,0.0
0,roughness,13.0,sitting,sitting,1.0,0.0
0,roughness,14.0,sitting,sitting,1.0,0.0
0,roughness,15.0,sitting,sitting,1.0,0.0
0,roughness,16.0,sitting,sitting,1.0,0.0
0,roughness,1.0,sitting,hand,0.37543859649122807,0.11319758006806778
0,roughness,2.0,sitting,hand,0.19473684210526312,0.4243459938790708
0,roughness,3.0,sitting,hand,-0.09473684210526316,0.6996571784752554
0,roughness,4.0,sitting,hand,0.4140350877192982,0.07801949398456286
0,roughness,5.0,sitting,hand,0.4333333333333333,0.06382621222101997
0,roughness,6.0,sitting,hand,0.4508771929824561,0.05268968314083469
0,roughness,7.0,sitting,hand,0.38070175438596493,0.10783179176413266
0,roughness,8.0,sitting,hand,0.20175438596491227,0.4075051414152554
0,roughness,9.0,sitting,hand,0.3719298245614035,0.11687923396377846
0,roughness,10.0,sitting,hand,0.543859649122807,0.016082818325237152
0,roughness,11.0,sitting,hand,0.48947368421052634,0.03341526206953935
0,roughness,12.0,sitting,hand,0.06666666666666667,0.7862629610688756
0,roughness,13.0,sitting,hand,0.5,0.02925803623664952
0,roughness,14.0,sitting,hand,0.4122807017543859,0.07941665997517341
0,roughness,15.0,sitting,hand,0.08421052631578947,0.7317826946411556
0,roughness,16.0,sitting,hand,0.3422554081127459,0.15148067820982514
0,roughness,1.0,hand,walking,0.31578947368421056,0.18782145580900952
0,roughness,2.0,hand,walking,0.37894736842105264,0.10959964442893559
0,roughness,3.0,hand,walking,0.15533130060501543,0.5254413553637161
0,roughness,4.0,hand,walking,0.17719298245614035,0.46801996198974094
0,roughness,5.0,hand,walking,0.1649122807017544,0.49988058994796014
0,roughness,6.0,hand,walking,0.4456140350877193,0.05586260497614902
0,roughness,7.0,hand,walking,-0.10350877192982455,0.6732515278554065
0,roughness,8.0,hand,walking,0.1105263157894737,0.6523856873272676
0,roughness,9.0,hand,walking,-0.20877192982456141,0.391033007093879
0,roughness,10.0,hand,walking,-0.36315789473684207,0.12645534372597733
0,roughness,11.0,hand,walking,0.2597630789778789,0.2828296184752782
0,roughness,12.0,hand,walking,-0.2771929824561403,0.25058889481209123
0,roughness,13.0,hand,walking,0.2368421052631579,0.32893104152682706
0,roughness,14.0,hand,walking,0.1456140350877193,0.5519696732095334
0,roughness,15.0,hand,walking,0.5385964912280702,0.01735062387146656
0,roughness,16.0,hand,walking,-0.017551559390397226,0.943145765313205
0,roughness,1.0,hand,sitting,0.37543859649122807,0.11319758006806778
0,roughness,2.0,hand,sitting,0.19473684210526312,0.4243459938790708
0,roughness,3.0,hand,sitting,-0.09473684210526316,0.6996571784752554
0,roughness,4.0,hand,sitting,0.4140350877192982,0.07801949398456286
0,roughness,5.0,hand,sitting,0.4333333333333333,0.06382621222101997
0,roughness,6.0,hand,sitting,0.4508771929824561,0.05268968314083469
0,roughness,7.0,hand,sitting,0.38070175438596493,0.10783179176413266
0,roughness,8.0,hand,sitting,0.20175438596491227,0.4075051414152554
0,roughness,9.0,hand,sitting,0.3719298245614035,0.11687923396377846
0,roughness,10.0,hand,sitting,0.543859649122807,0.016082818325237152
0,roughness,11.0,hand,sitting,0.48947368421052634,0.03341526206953935
0,roughness,12.0,hand,sitting,0.06666666666666667,0.7862629610688756
0,roughness,13.0,hand,sitting,0.5,0.02925803623664952
0,roughness,14.0,hand,sitting,0.4122807017543859,0.07941665997517341
0,roughness,15.0,hand,sitting,0.08421052631578947,0.7317826946411556
0,roughness,16.0,hand,sitting,0.3422554081127459,0.15148067820982514
0,roughness,1.0,hand,hand,1.0,0.0
0,roughness,2.0,hand,hand,1.0,0.0
0,roughness,3.0,hand,hand,1.0,0.0
0,roughness,4.0,hand,hand,1.0,0.0
0,roughness,5.0,hand,hand,1.0,0.0
0,roughness,6.0,hand,hand,1.0,0.0
0,roughness,7.0,hand,hand,1.0,0.0
0,roughness,8.0,hand,hand,1.0,0.0
0,roughness,9.0,hand,hand,1.0,0.0
0,roughness,10.0,hand,hand,1.0,0.0
0,roughness,11.0,hand,hand,1.0,0.0
0,roughness,12.0,hand,hand,1.0,0.0
0,roughness,13.0,hand,hand,1.0,0.0
0,roughness,14.0,hand,hand,1.0,0.0
0,roughness,15.0,hand,hand,1.0,0.0
0,roughness,16.0,hand,hand,0.9999999999999999,1.6790920362932472e-134
0,hardness,1.0,walking,walking,1.0,0.0
0,hardness,2.0,walking,walking,1.0,0.0
0,hardness,3.0,walking,walking,1.0,0.0
0,hardness,4.0,walking,walking,1.0,0.0
0,hardness,5.0,walking,walking,1.0,0.0
0,hardness,6.0,walking,walking,1.0,0.0
0,hardness,7.0,walking,walking,1.0,0.0
0,hardness,8.0,walking,walking,1.0,0.0
0,hardness,9.0,walking,walking,1.0,0.0
0,hardness,10.0,walking,walking,1.0,0.0
0,hardness,11.0,walking,walking,1.0,0.0
0,hardness,12.0,walking,walking,1.0,0.0
0,hardness,13.0,walking,walking,1.0,0.0
0,hardness,14.0,walking,walking,1.0,0.0
0,hardness,15.0,walking,walking,1.0,0.0
0,hardness,16.0,walking,walking,1.0,0.0
0,hardness,1.0,walking,sitting,0.232418218767983,0.3240988125052523
0,hardness,2.0,walking,sitting,0.6197819167146212,0.003559719918872517
0,hardness,3.0,walking,sitting,0.5218045112781955,0.0182849434820976
0,hardness,4.0,walking,sitting,0.6496240601503759,0.0019353332844401431
0,hardness,5.0,walking,sitting,-0.009022556390977442,0.9698849998123449
0,hardness,6.0,walking,sitting,0.5112781954887218,0.021220644133224758
0,hardness,7.0,walking,sitting,0.1518796992481203,0.5226819111403139
0,hardness,8.0,walking,sitting,0.17142857142857143,0.4698861728108753
0,hardness,9.0,walking,sitting,0.21954887218045113,0.352345677311515
0,hardness,10.0,walking,sitting,0.41052631578947363,0.07218723053142066
0,hardness,11.0,walking,sitting,0.6531228334986352,0.0017943502739863804
0,hardness,12.0,walking,sitting,0.21804511278195485,0.35573636611773685
0,hardness,13.0,walking,sitting,0.49793158842849417,0.025468536459116745
0,hardness,14.0,walking,sitting,0.4195488721804511,0.065548285182185
0,hardness,15.0,walking,sitting,0.2541353383458646,0.2795976355152773
0,hardness,16.0,walking,sitting,0.6152689415929128,0.0038830995458908873
0,hardness,1.0,walking,hand,0.1280701754385965,0.6013177937232191
0,hardness,2.0,walking,hand,0.45438596491228067,0.05065165269537556
0,hardness,3.0,walking,hand,0.0456140350877193,0.8528960735031589
0,hardness,4.0,walking,hand,0.45964912280701753,0.04770770316578596
0,hardness,5.0,walking,hand,0.22982456140350876,0.3438801731989136
0,hardness,6.0,walking,hand,0.5473684210526315,0.015279471990301049
0,hardness,7.0,walking,hand,0.16140350877192983,0.5091713427471698
0,hardness,8.0,walking,hand,-0.3333333333333333,0.16313885284404722
0,hardness,9.0,walking,hand,0.08771929824561404,0.7210236536238765
0,hardness,10.0,walking,hand,0.48947368421052634,0.03341526206953935
0,hardness,11.0,walking,hand,0.18771929824561404,0.4415495023823781
0,hardness,12.0,walking,hand,0.01754385964912281,0.9431706684765946
0,hardness,13.0,walking,hand,0.36315789473684207,0.12645534372597733
0,hardness,14.0,walking,hand,0.2912280701754386,0.22639719358125593
0,hardness,15.0,walking,hand,0.3929824561403509,0.09602690718358067
0,hardness,16.0,walking,hand,0.42105263157894735,0.07261203928039694
0,hardness,1.0,sitting,walking,0.232418218767983,0.3240988125052523
0,hardness,2.0,sitting,walking,0.6197819167146212,0.003559719918872517
0,hardness,3.0,sitting,walking,0.5218045112781955,0.0182849434820976
0,hardness,4.0,sitting,walking,0.6496240601503759,0.0019353332844401431
0,hardness,5.0,sitting,walking,-0.009022556390977442,0.9698849998123449
0,hardness,6.0,sitting,walking,0.5112781954887218,0.021220644133224758
0,hardness,7.0,sitting,walking,0.1518796992481203,0.5226819111403139
0,hardness,8.0,sitting,walking,0.17142857142857143,0.4698861728108753
0,hardness,9.0,sitting,walking,0.21954887218045113,0.352345677311515
0,hardness,10.0,sitting,walking,0.41052631578947363,0.07218723053142066
0,hardness,11.0,sitting,walking,0.6531228334986352,0.0017943502739863804
0,hardness,12.0,sitting,walking,0.21804511278195485,0.35573636611773685
0,hardness,13.0,sitting,walking,0.4979315884284942,0.025468536459116734
0,hardness,14.0,sitting,walking,0.4195488721804511,0.065548285182185
0,hardness,15.0,sitting,walking,0.2541353383458646,0.2795976355152773
0,hardness,16.0,sitting,walking,0.6152689415929128,0.0038830995458908873
0,hardness,1.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,2.0,sitting,sitting,0.9999999999999999,2.4335320021951557e-142
0,hardness,3.0,sitting,sitting,1.0,0.0
0,hardness,4.0,sitting,sitting,1.0,0.0
0,hardness,5.0,sitting,sitting,1.0,0.0
0,hardness,6.0,sitting,sitting,1.0,0.0
0,hardness,7.0,sitting,sitting,1.0,0.0
0,hardness,8.0,sitting,sitting,1.0,0.0
0,hardness,9.0,sitting,sitting,1.0,0.0
0,hardness,10.0,sitting,sitting,1.0,0.0
0,hardness,11.0,sitting,sitting,1.0,0.0
0,hardness,12.0,sitting,sitting,1.0,0.0
