,Metric,Texture number,Texture name,Comparison,W,p,Texture
0,roughness,1.0,Door mat,hand-sitting,4.5,0.08604039578456761,
1,roughness,1.0,Door mat,hand-walking,3.0,0.4496917979688909,
2,roughness,1.0,Door mat,sitting-walking,11.0,0.30464192203660967,
3,roughness,2.0,Rug 1,hand-sitting,69.0,0.312408447265625,
4,roughness,2.0,Rug 1,hand-walking,73.5,0.6005146243423352,
5,roughness,2.0,Rug 1,sitting-walking,81.0,0.8438037213515447,
6,roughness,3.0,Towel,hand-sitting,49.5,0.07283401489257812,
7,roughness,3.0,Towel,hand-walking,24.5,0.007769140688463945,
8,roughness,3.0,Towel,sitting-walking,63.5,0.5373232004399325,
9,roughness,4.0,Rug 2,hand-sitting,45.5,0.4096312672235325,
10,roughness,4.0,Rug 2,hand-walking,80.5,0.5677604675292969,
11,roughness,4.0,Rug 2,sitting-walking,80.5,0.8274008526013115,
12,roughness,5.0,Cork pad,hand-sitting,69.0,0.47171540561984837,
13,roughness,5.0,Cork pad,hand-walking,23.5,0.002838134765625,
14,roughness,5.0,Cork pad,sitting-walking,36.5,0.0180816650390625,
15,roughness,6.0,Plastic place mat,hand-sitting,79.0,0.7766013420196393,
16,roughness,6.0,Plastic place mat,hand-walking,65.5,0.6015934671076849,
17,roughness,6.0,Plastic place mat,sitting-walking,55.0,0.3080411428766727,
18,roughness,7.0,Chair pad,hand-sitting,32.5,0.020686348174753465,
19,roughness,7.0,Chair pad,hand-walking,68.0,0.4445746684517363,
20,roughness,7.0,Chair pad,sitting-walking,51.5,0.23590670250259949,
21,roughness,8.0,Bath mat,hand-sitting,27.5,0.3651348400477097,
22,roughness,8.0,Bath mat,hand-walking,47.5,0.7511669690794196,
23,roughness,8.0,Bath mat,sitting-walking,47.0,0.726105036652652,
24,roughness,9.0,Astro turf,hand-sitting,35.5,0.28217630513358793,
25,roughness,9.0,Astro turf,hand-walking,43.0,0.5420347043827921,
26,roughness,9.0,Astro turf,sitting-walking,28.0,0.06684864664390193,
27,roughness,10.0,Plastic desk mat,hand-sitting,56.5,0.5507421948713662,
28,roughness,10.0,Plastic desk mat,hand-walking,85.0,0.9826046010288362,
29,roughness,10.0,Plastic desk mat,sitting-walking,59.0,0.6412697068858548,
30,roughness,11.0,Garden deck tile,hand-sitting,54.5,0.17607131059707104,
31,roughness,11.0,Garden deck tile,hand-walking,40.5,0.7257209852083117,
32,roughness,11.0,Garden deck tile,sitting-walking,41.0,0.0909826871471247,
33,roughness,12.0,Tile,hand-sitting,32.5,0.00945281982421875,
34,roughness,12.0,Tile,hand-walking,66.0,0.6185632592431829,
35,roughness,12.0,Tile,sitting-walking,18.0,0.005571333974640446,
36,roughness,13.0,Crash mat,hand-sitting,89.0,0.8287849426269531,
37,roughness,13.0,Crash mat,hand-walking,54.5,0.104156494140625,
38,roughness,13.0,Crash mat,sitting-walking,33.0,0.03917086354535355,
39,roughness,14.0,Firm foam pad,hand-sitting,85.5,1.0,
40,roughness,14.0,Firm foam pad,hand-walking,31.5,0.01840764724507757,
41,roughness,14.0,Firm foam pad,sitting-walking,33.5,0.01082611083984375,
42,roughness,15.0,Gel pad,hand-sitting,67.0,0.9586431966299656,
43,roughness,15.0,Gel pad,hand-walking,40.0,0.025821685791015625,
44,roughness,15.0,Gel pad,sitting-walking,39.5,0.02298736572265625,
45,roughness,16.0,Throw,hand-sitting,78.0,0.7434796169266318,
46,roughness,16.0,Throw,hand-walking,91.5,0.8905677795410156,
47,roughness,16.0,Throw,sitting-walking,70.5,0.3320655822753906,
48,hardness,1.0,Door mat,hand-sitting,69.0,0.721476134024414,
49,hardness,1.0,Door mat,hand-walking,63.5,0.33535919796605385,
50,hardness,1.0,Door mat,sitting-walking,32.0,0.06118122337682312,
51,hardness,2.0,Rug 1,hand-sitting,35.5,0.27743910513984715,
52,hardness,2.0,Rug 1,hand-walking,39.5,0.24248113507485347,
53,hardness,2.0,Rug 1,sitting-walking,29.5,0.04533641371023318,
54,hardness,3.0,Towel,hand-sitting,48.0,0.7770292397210615,
55,hardness,3.0,Towel,hand-walking,32.0,0.034518634264375986,
56,hardness,3.0,Towel,sitting-walking,23.0,0.019599613077697982,
57,hardness,4.0,Rug 2,hand-sitting,16.5,0.07516168615669336,
58,hardness,4.0,Rug 2,hand-walking,14.0,0.025828560698326456,
59,hardness,4.0,Rug 2,sitting-walking,48.0,0.7733396837529013,
60,hardness,5.0,Cork pad,hand-sitting,67.5,0.4316720429161671,
61,hardness,5.0,Cork pad,hand-walking,37.5,0.11337260315083902,
62,hardness,5.0,Cork pad,sitting-walking,75.5,0.4413337707519531,
63,hardness,6.0,Plastic place mat,hand-sitting,44.5,0.22329824227244777,
64,hardness,6.0,Plastic place mat,hand-walking,75.0,0.6462568382301558,
65,hardness,6.0,Plastic place mat,sitting-walking,79.0,0.7763678650860988,
66,hardness,7.0,Chair pad,hand-sitting,58.5,0.3929708076289561,
67,hardness,7.0,Chair pad,hand-walking,36.5,0.17949570550465044,
68,hardness,7.0,Chair pad,sitting-walking,78.5,0.7586691484470032,
69,hardness,8.0,Bath mat,hand-sitting,54.5,0.7535472383021143,
70,hardness,8.0,Bath mat,hand-walking,69.0,0.47097606614876175,
71,hardness,8.0,Bath mat,sitting-walking,64.5,0.35807726621001346,
72,hardness,9.0,Astro turf,hand-sitting,83.0,0.9129507719851072,
73,hardness,9.0,Astro turf,hand-walking,67.5,0.6692035121720001,
74,hardness,9.0,Astro turf,sitting-walking,66.5,0.6352298712828786,
75,hardness,10.0,Plastic desk mat,hand-sitting,47.0,0.1619827442409998,
76,hardness,10.0,Plastic desk mat,hand-walking,48.0,0.776273177187613,
77,hardness,10.0,Plastic desk mat,sitting-walking,46.0,0.08438855327072932,
78,hardness,11.0,Garden deck tile,hand-sitting,44.0,0.35691015954514416,
79,hardness,11.0,Garden deck tile,hand-walking,23.0,0.05597920918538117,
80,hardness,11.0,Garden deck tile,sitting-walking,24.5,0.24849416462460305,
81,hardness,12.0,Tile,hand-sitting,58.0,0.9090851702733299,
82,hardness,12.0,Tile,hand-walking,66.0,0.6174238728917165,
83,hardness,12.0,Tile,sitting-walking,50.0,0.20807533980806536,
84,hardness,13.0,Crash mat,hand-sitting,34.5,0.025884159896704166,
85,hardness,13.0,Crash mat,hand-walking,1.0,0.0003495194847000619,
86,hardness,13.0,Crash mat,sitting-walking,3.0,0.0007468057436878589,
87,hardness,14.0,Firm foam pad,hand-sitting,38.5,0.07029006021349345,
88,hardness,14.0,Firm foam pad,hand-walking,73.5,0.6002976624364249,
89,hardness,14.0,Firm foam pad,sitting-walking,49.5,0.11405543713712392,
90,hardness,15.0,Gel pad,hand-sitting,61.0,0.46153394030947015,
91,hardness,15.0,Gel pad,hand-walking,75.0,0.9432330903578953,
92,hardness,15.0,Gel pad,sitting-walking,67.5,0.6692911266180891,
93,hardness,16.0,Throw,hand-sitting,44.0,0.9155562591455702,
94,hardness,16.0,Throw,hand-walking,51.5,0.6248999553757992,
95,hardness,16.0,Throw,sitting-walking,45.5,0.6591638000125397,
96,slipperiness,1.0,Door mat,hand-sitting,4.5,0.10452965916626225,
97,slipperiness,1.0,Door mat,hand-walking,12.5,0.03493929518724253,
98,slipperiness,1.0,Door mat,sitting-walking,20.5,0.2635524772829727,
99,slipperiness,2.0,Rug 1,hand-sitting,19.0,0.005792644642472073,
100,slipperiness,2.0,Rug 1,hand-walking,42.0,0.10118317615565184,
101,slipperiness,2.0,Rug 1,sitting-walking,55.5,0.7974321031856152,
102,slipperiness,3.0,Towel,hand-sitting,35.0,0.048958994043947365,
103,slipperiness,3.0,Towel,hand-walking,21.0,0.00488773832299729,
104,slipperiness,3.0,Towel,sitting-walking,32.5,0.11697585384864356,
105,slipperiness,4.0,Rug 2,hand-sitting,39.5,0.13823499689388052,
106,slipperiness,4.0,Rug 2,hand-walking,60.0,0.43424078823853796,
107,slipperiness,4.0,Rug 2,sitting-walking,37.5,0.5756369136048027,
108,slipperiness,5.0,Cork pad,hand-sitting,51.0,0.2264071912199498,
109,slipperiness,5.0,Cork pad,hand-walking,82.5,0.6507492065429688,
110,slipperiness,5.0,Cork pad,sitting-walking,52.0,0.14405853158024684,
111,slipperiness,6.0,Plastic place mat,hand-sitting,63.5,0.3368602731621392,
112,slipperiness,6.0,Plastic place mat,hand-walking,61.0,0.284317544088166,
113,slipperiness,6.0,Plastic place mat,sitting-walking,86.0,0.7380905151367188,
114,slipperiness,7.0,Chair pad,hand-sitting,65.5,0.38119813741536224,
115,slipperiness,7.0,Chair pad,hand-walking,28.0,0.03818541624200669,
116,slipperiness,7.0,Chair pad,sitting-walking,38.0,0.06737111975507079,
117,slipperiness,8.0,Bath mat,hand-sitting,10.5,0.021748396310532072,
118,slipperiness,8.0,Bath mat,hand-walking,39.0,0.3919022665002321,
119,slipperiness,8.0,Bath mat,sitting-walking,18.0,0.32587002429697964,
120,slipperiness,9.0,Astro turf,hand-sitting,47.0,0.15484740880836312,
121,slipperiness,9.0,Astro turf,hand-walking,16.0,0.021101822968611558,
122,slipperiness,9.0,Astro turf,sitting-walking,54.0,0.2815771903380443,
123,slipperiness,10.0,Plastic desk mat,hand-sitting,28.5,0.12942388548266356,
124,slipperiness,10.0,Plastic desk mat,hand-walking,21.5,0.05084134932605777,
125,slipperiness,10.0,Plastic desk mat,sitting-walking,47.5,0.2867020197604502,
126,slipperiness,11.0,Garden deck tile,hand-sitting,94.0,0.9843215942382812,
127,slipperiness,11.0,Garden deck tile,hand-walking,53.0,0.4363521470543543,
128,slipperiness,11.0,Garden deck tile,sitting-walking,67.5,0.4316720429161671,
129,slipperiness,12.0,Tile,hand-sitting,21.0,0.0016937255859375,
130,slipperiness,12.0,Tile,hand-walking,73.0,0.8681129543249458,
131,slipperiness,12.0,Tile,sitting-walking,22.0,0.00202178955078125,
132,slipperiness,13.0,Crash mat,hand-sitting,59.0,0.6395819398192388,
133,slipperiness,13.0,Crash mat,hand-walking,47.0,0.09286438550520758,
134,slipperiness,13.0,Crash mat,sitting-walking,34.0,0.04387747844611374,
135,slipperiness,14.0,Firm foam pad,hand-sitting,77.5,0.48996734619140625,
136,slipperiness,14.0,Firm foam pad,hand-walking,22.0,0.009778992261819728,
137,slipperiness,14.0,Firm foam pad,sitting-walking,38.0,0.038326608296465545,
138,slipperiness,15.0,Gel pad,hand-sitting,28.0,0.02149809794092148,
139,slipperiness,15.0,Gel pad,hand-walking,37.0,0.06095856040100865,
140,slipperiness,15.0,Gel pad,sitting-walking,13.0,0.0026108543700570537,
141,slipperiness,16.0,Throw,hand-sitting,49.0,0.11077931069179167,
142,slipperiness,16.0,Throw,hand-walking,64.5,0.5686937049334944,
143,slipperiness,16.0,Throw,sitting-walking,41.0,0.0924476920572319,
